BranchID,BranchName,City,Address
115,El Fayda Branch,Ismailia,"3 Village Rd, El Fayda"
116,Abu Sultan Branch,Ismailia,"12 Coastal Rd, Abu Sultan"
117,Serapeum Branch,Ismailia,"4 Military Rd, Serapeum"
118,Kantara East Branch,Ismailia,"7 Canal Rd, Kantara East"
119,Kantara West Branch,Ismailia,"9 Canal Rd, Kantara West"
120,New Suez Branch,Ismailia,"18 New City Rd, Suez"
121,El Manzala Branch,Mansoura,"14 Lake Rd, El Manzala"
122,El Senbellawein Branch,Mansoura,"8 El Geish St, El Senbellawein"
123,Meet Ghamr Branch,Mansoura,"22 El Bank St, Meet Ghamr"
124,Talkha Industrial Branch,Mansoura,"30 Industrial Zone, Talkha"
125,Aga Branch,Mansoura,"6 El Saad St, Aga"
126,Nabroh Branch,Mansoura,"9 Market St, Nabroh"
127,Belqas Branch,Mansoura,"15 El Corniche St, Belqas"
128,El Gamalia Branch,Mansoura,"11 Central Square, El Gamalia"
129,Mansoura University Branch,Mansoura,"2 University St, Mansoura"
130,New Mansoura Branch,Mansoura,"19 New City Rd, Mansoura"
131,El Santa Branch,Tanta,"5 El Gomhoria St, El Santa"
132,Kafr Zayat Branch,Tanta,"18 Chemical Rd, Kafr Zayat"
133,Zefta Branch,Tanta,"7 Bridge Rd, Zefta"
134,Qutur Branch,Tanta,"9 El Saad St, Qutur"
135,Basyoun Industrial Branch,Tanta,"21 Industrial Zone, Basyoun"
136,Samannoud Branch,Tanta,"14 Textile Rd, Samannoud"
137,El Mahalla Industrial Branch,Tanta,"33 Factory Rd, El Mahalla"
138,New Tanta Branch,Tanta,"10 Ring Rd, Tanta"
139,El Rehab 2 Branch,Cairo,"25 New Phase Rd, El Rehab, Cairo"
140,Madinaty South Branch,Cairo,"17 South Services Rd, Madinaty, Cairo"
141,El Tagamoa Fifth Branch,Cairo,"88 South 90 St, Fifth Settlement, Cairo"
142,El Tagamoa First Branch,Cairo,"12 North 90 St, First Settlement, Cairo"
143,El Katameya New Branch,Cairo,"6 Ring Rd, Katameya, Cairo"
144,Badr City Branch,Cairo,"14 Central Axis, Badr City, Cairo"
145,Future City Branch,Cairo,"9 Investment Zone, Future City, Cairo"
146,Mostakbal City Branch,Cairo,"11 New Axis Rd, Mostakbal City, Cairo"
147,El Obour Industrial Branch,Cairo,"27 Factories Area, Obour, Cairo"
148,El Salam Industrial Branch,Cairo,"19 Industrial Rd, El Salam, Cairo"
149,New Shubra Branch,Cairo,"4 Ring Rd, Shubra, Cairo"
150,El Qanater Branch,Cairo,"8 Barrages Rd, El Qanater, Cairo"
151,El Warraq Branch,Giza,"6 Island Rd, El Warraq, Giza"
152,Kerdasa Branch,Giza,"9 Handicraft St, Kerdasa, Giza"
153,Abu Rawash Branch,Giza,"13 Industrial Rd, Abu Rawash, Giza"
154,Saqqara Branch,Giza,"2 Pyramid Rd, Saqqara, Giza"
155,El Ayyat Branch,Giza,"15 Agricultural Rd, El Ayyat, Giza"
156,El Badrashein Branch,Giza,"10 Temple Rd, El Badrashein, Giza"
157,Atfih Branch,Giza,"7 Industrial Zone, Atfih, Giza"
158,El Saf Branch,Giza,"12 Market St, El Saf, Giza"
159,New October Branch,Giza,"25 Extension Zone, 6th of October, Giza"
160,October Gardens Branch,Giza,"18 Gardens Rd, October Gardens, Giza"
161,El Sheikh Zayed New Branch,Giza,"33 Hyper One Rd, Sheikh Zayed, Giza"
162,El Agouza Branch,Giza,"9 Sudan St, Agouza, Giza"
163,El Monib Branch,Giza,"5 Corniche El Nile, Monib, Giza"
164,El Faisal Branch,Giza,"21 Faisal St, Giza"
165,El Talbia Branch,Giza,"14 Pyramids St, Giza"
166,El Omraniya Branch,Giza,"8 Omraniya St, Giza"
167,El Matariya Giza Branch,Giza,"6 Ring Rd, Matariya, Giza"
168,El Hawamdeya Branch,Giza,"19 Sugar Factory Rd, Hawamdeya, Giza"
169,New Fayoum Branch,Giza,"22 New City Rd, Fayoum"
170,El Senouras Branch,Giza,"3 Village Center, Senouras"
171,Tamiya Branch,Giza,"7 Market Rd, Tamiya"
172,Yousef El Seddik Branch,Giza,"5 Lake Rd, Yousef El Seddik"
173,El Wasta Branch,Giza,"11 Railway St, El Wasta"
174,New Beni Suef Branch,Giza,"20 New City Rd, Beni Suef"
175,El Minya New Branch,Luxor,"18 New District Rd, Minya"
176,New Assiut Branch,Luxor,"27 New Axis Rd, Assiut"
177,El Qusiya Branch,Luxor,"6 Market St, El Qusiya"
178,Manfalut Branch,Luxor,"12 Corniche Rd, Manfalut"
179,Abnoub Branch,Luxor,"9 Central Square, Abnoub"
180,Sahel Selim Branch,Luxor,"4 Nile Rd, Sahel Selim"
181,El Fath Branch,Luxor,"7 Industrial Rd, El Fath"
182,New Sohag Branch,Luxor,"21 New City Rd, Sohag"
183,Gerga Branch,Luxor,"10 Market St, Gerga"
184,El Maragha Branch,Luxor,"6 El Saad St, El Maragha"
185,Tama Branch,Luxor,"8 Corniche Rd, Tama"
186,Akhmim Branch,Luxor,"15 Textile St, Akhmim"
187,El Balyana Branch,Luxor,"3 Village Rd, El Balyana"
188,New Qena Branch,Luxor,"18 New Axis Rd, Qena"
189,Naqada Branch,Luxor,"11 Sugar Rd, Naqada"
190,Abu Tesht Branch,Luxor,"6 Market St, Abu Tesht"
191,Farshout New Branch,Luxor,"14 New District Rd, Farshout"
192,El Wakf Branch,Luxor,"5 Central Square, El Wakf"
193,Dishna Branch,Luxor,"9 Industrial Rd, Dishna"
194,El Kharga Branch,Aswan,"12 Oasis Rd, El Kharga"
195,Dakhla Branch,Aswan,"7 Oasis Center, Dakhla"
196,Farafra Branch,Aswan,"3 New Valley Rd, Farafra"
197,Baladi Aswan Branch,Aswan,"19 Old Market St, Aswan"
198,New Kom Ombo Branch,Aswan,"25 New City Rd, Kom Ombo"
199,Aswan Airport Branch,Aswan,"2 Airport Rd, Aswan"
200,Aswan University Branch,Aswan,"9 University St, Aswan"
